Payment Attempted On,Payment Successful On,Payment ID,Transaction ID,Issuer/Scheme,National/International,TSP Charges,Convenience Fee,CGST,SGST,IGST
'2020-07-11 16:07:52.0,'2020-07-11 16:09:28.0,335630655,433091,SBIB,,0.0,52.75,0.0,0.0,0.0
'2020-07-11 16:02:20.0,'2020-07-11 16:04:35.0,335628907,433089,RUPAY,National,0.0,0.0,0.0,0.0,0.0
'2020-07-11 15:59:40.0,'2020-07-11 16:01:24.0,335628145,433085,SBIB,,0.0,81.42,0.0,0.0,0.0
'2020-07-11 15:58:46.0,'2020-07-11 16:01:53.0,335627910,433084,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-11 15:44:10.0,'2020-07-11 15:46:46.0,335623862,433078,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-11 15:27:40.0,'2020-07-11 15:34:55.0,335619192,433071,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-11 15:06:24.0,'2020-07-11 15:11:55.0,335612937,433065,CC,National,0.0,176.59,0.0,0.0,0.0
'2020-07-11 15:02:02.0,'2020-07-11 15:03:34.0,335611710,433061,CC,National,0.0,77.75,0.0,0.0,0.0
'2020-07-11 14:59:48.0,'2020-07-11 15:01:48.0,335611031,433060,VISA,National,0.0,91.94,0.0,0.0,0.0
'2020-07-11 14:45:27.0,'2020-07-11 14:48:47.0,335607082,433048,CC,National,0.0,197.23,0.0,0.0,0.0
'2020-07-11 14:31:36.0,'2020-07-11 14:33:33.0,335603030,433038,MAST,National,0.0,41.67,0.0,0.0,0.0
'2020-07-11 14:05:52.0,'2020-07-11 14:07:55.0,335595719,433019,HDFB,,0.0,83.02,0.0,0.0,0.0
'2020-07-11 14:04:47.0,'2020-07-11 14:06:34.0,335595462,433020,MAST,National,0.0,64.0,0.0,0.0,0.0
'2020-07-11 13:49:57.0,'2020-07-11 13:51:01.0,335591107,433014,HDFB,,0.0,191.73,0.0,0.0,0.0
'2020-07-11 13:31:25.0,'2020-07-11 13:35:17.0,335585411,433006,RUPAY,National,0.0,0.0,0.0,0.0,0.0
'2020-07-11 13:28:58.0,'2020-07-11 13:30:23.0,335584575,433005,VISA,National,0.0,28.66,0.0,0.0,0.0
'2020-07-11 13:12:35.0,'2020-07-11 13:32:53.0,335579557,432996,RUPAY,National,0.0,0.0,0.0,0.0,0.0
'2020-07-11 12:55:01.0,'2020-07-11 12:57:33.0,335574079,432991,RUPAY,National,0.0,0.0,0.0,0.0,0.0
'2020-07-11 12:52:23.0,'2020-07-11 12:54:23.0,335573238,432990,MAST,National,0.0,91.94,0.0,0.0,0.0
'2020-07-11 12:45:04.0,'2020-07-11 12:48:54.0,335570892,432987,HDFB,,0.0,79.35,0.0,0.0,0.0
'2020-07-11 12:42:42.0,'2020-07-11 12:46:03.0,335570196,432986,VISA,National,0.0,91.94,0.0,0.0,0.0
'2020-07-11 12:34:14.0,'2020-07-11 12:35:09.0,335567308,432979,HDFB,,0.0,47.02,0.0,0.0,0.0
'2020-07-11 12:27:40.0,'2020-07-11 12:28:55.0,335564994,432971,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-11 12:22:31.0,'2020-07-11 12:26:36.0,335563228,432969,HDFB,,0.0,81.42,0.0,0.0,0.0
'2020-07-11 12:14:37.0,'2020-07-11 12:16:04.0,335560412,432967,CC,National,0.0,99.08,0.0,0.0,0.0
'2020-07-11 11:30:03.0,'2020-07-11 11:32:06.0,335545435,432935,VISA,National,0.0,48.6,0.0,0.0,0.0
'2020-07-11 11:23:38.0,'2020-07-11 11:26:06.0,335543407,432929,SBIB,,0.0,170.17,0.0,0.0,0.0
'2020-07-11 11:18:35.0,'2020-07-11 11:20:16.0,335541740,432927,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-11 11:17:41.0,'2020-07-11 11:19:16.0,335541415,432926,SBIB,,0.0,194.94,0.0,0.0,0.0
'2020-07-11 11:09:35.0,'2020-07-11 11:11:14.0,335538696,432919,HDFB,,0.0,176.59,0.0,0.0,0.0
'2020-07-11 11:00:40.0,'2020-07-11 11:02:00.0,335535574,432909,CC,National,0.0,123.16,0.0,0.0,0.0
'2020-07-11 10:53:42.0,'2020-07-11 10:56:55.0,335533084,432902,RUPAY,National,0.0,0.0,0.0,0.0,0.0
'2020-07-11 10:33:21.0,'2020-07-11 10:34:59.0,335526652,432888,CC,National,0.0,122.93,0.0,0.0,0.0
'2020-07-11 10:09:58.0,'2020-07-11 10:11:46.0,335519865,432879,PAYTM,,0.0,167.65,0.0,0.0,0.0
'2020-07-11 09:48:19.0,'2020-07-11 09:50:15.0,335514237,432865,AXIB,,0.0,184.39,0.0,0.0,0.0
'2020-07-11 09:43:51.0,'2020-07-11 10:22:30.0,335513188,432863,VISA,National,0.0,40.24,0.0,0.0,0.0
'2020-07-11 09:40:43.0,'2020-07-11 09:42:31.0,335512472,432862,CC,National,0.0,93.34,0.0,0.0,0.0
'2020-07-11 09:39:32.0,'2020-07-11 09:40:24.0,335512146,432861,AXIB,,0.0,197.23,0.0,0.0,0.0
'2020-07-11 09:24:08.0,'2020-07-11 09:25:46.0,335508600,432857,MAST,National,0.0,51.82,0.0,0.0,0.0
'2020-07-11 09:19:32.0,'2020-07-11 09:25:31.0,335507579,432856,RUPAY,National,0.0,0.0,0.0,0.0,0.0
'2020-07-11 08:33:48.0,'2020-07-11 08:39:33.0,335499000,432852,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-11 01:01:16.0,'2020-07-11 01:03:30.0,335476850,432848,VISA,National,0.0,14.66,0.0,0.0,0.0
'2020-07-10 23:30:24.0,'2020-07-10 23:31:33.0,335467067,432847,162B,,0.0,194.94,0.0,0.0,0.0
'2020-07-10 22:35:05.0,'2020-07-10 22:36:35.0,335455801,432844,CC,National,0.0,197.23,0.0,0.0,0.0
'2020-07-10 22:32:00.0,'2020-07-10 22:34:40.0,335455194,432843,VISA,National,0.0,101.5,0.0,0.0,0.0
'2020-07-10 22:27:38.0,'2020-07-10 22:29:14.0,335454174,432842,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-10 22:20:34.0,'2020-07-10 22:27:28.0,335452562,432841,ICIB,,0.0,175.22,0.0,0.0,0.0
'2020-07-10 22:18:36.0,'2020-07-10 22:22:41.0,335452053,432840,UPI,,0.0,0.0,0.0,0.0,0.9
'2020-07-10 22:09:27.0,'2020-07-10 22:13:58.0,335449799,432837,CC,National,0.0,167.65,0.0,0.0,0.0
'2020-07-10 21:43:48.0,'2020-07-10 21:46:28.0,335443285,432832,162B,,0.0,184.39,0.0,0.0,0.0
'2020-07-10 21:26:28.0,'2020-07-10 21:32:49.0,335439094,432831,VISA,National,0.0,58.99,0.0,0.0,0.0
'2020-07-10 21:08:39.0,'2020-07-10 21:15:17.0,335434751,432829,VISA,National,0.0,53.5,0.0,0.0,0.0
'2020-07-10 20:30:14.0,'2020-07-10 20:40:37.0,335424702,432827,HDFB,,0.0,44.49,0.0,0.0,0.0
'2020-07-10 20:08:37.0,'2020-07-10 20:12:00.0,335418734,432826,CC,National,0.0,83.02,0.0,0.0,0.0
'2020-07-10 20:01:58.0,'2020-07-10 20:03:36.0,335416877,432825,VISA,National,0.0,14.66,0.0,0.0,0.0
'2020-07-10 19:53:44.0,'2020-07-10 19:54:56.0,335414644,432821,HDFB,,0.0,197.23,0.0,0.0,0.0
'2020-07-10 19:45:31.0,'2020-07-10 19:49:23.0,335412334,432817,CABB,,0.0,156.45,0.0,0.0,0.0
'2020-07-10 19:44:45.0,'2020-07-10 19:45:54.0,335412143,432816,SBIB,,0.0,44.49,0.0,0.0,0.0
'2020-07-10 19:34:49.0,'2020-07-10 19:37:30.0,335409287,432815,VISA,National,0.0,53.5,0.0,0.0,0.0
'2020-07-10 18:49:47.0,'2020-07-10 18:52:34.0,335395804,432814,CABB,,0.0,76.33,0.0,0.0,0.0
'2020-07-10 18:14:41.0,'2020-07-10 18:17:53.0,335384883,432809,CABB,,0.0,169.53,0.0,0.0,0.0
'2020-07-10 18:12:29.0,'2020-07-10 18:13:28.0,335384165,432806,CC,National,0.0,135.77,0.0,0.0,0.0
'2020-07-10 18:08:22.0,'2020-07-10 18:10:28.0,335382833,432803,CC,National,0.0,127.97,0.0,0.0,0.0
'2020-07-10 18:03:34.0,'2020-07-10 18:05:22.0,335381318,432799,CC,National,0.0,135.77,0.0,0.0,0.0
'2020-07-10 17:53:09.0,'2020-07-10 17:55:20.0,335377715,432797,CC,National,0.0,136.0,0.0,0.0,0.0
'2020-07-10 17:38:37.0,'2020-07-10 17:59:50.0,335373666,432792,CABB,,0.0,162.36,0.0,0.0,0.0
'2020-07-10 17:27:04.0,'2020-07-10 17:29:36.0,335369868,432790,RUPAY,National,0.0,0.0,0.0,0.0,0.0
'2020-07-10 17:22:07.0,'2020-07-10 17:23:23.0,335368129,432787,CC,National,0.0,184.39,0.0,0.0,0.0
